userId,regTime,testVariant,primaryAccount,regPage,device,app,browser,browserVersion,screenHeight,screenWidth,authMethod,locationStep,addedCity,locationCountry,addedGuestCount,addedBudget,invitedCollaborator,addedNames,finOnb,searchCTA,venEnq,venSearch,venViews,sessions
0,1.56961E+12,0,TRUE,/,Android,TRUE,Chrome,77,823,412,password,completed,0,,TRUE,TRUE,FALSE,TRUE,1,0,0,0,0,6
1,1.56891E+12,1,TRUE,/,Android,TRUE,Chrome,76,732,412,google.com,completed,0,,TRUE,TRUE,FALSE,TRUE,1,0,0,0,0,2
2,1.56928E+12,2,TRUE,/,iPhone,TRUE,Mobile Safari,,812,375,google.com,completed,0,,TRUE,FALSE,TRUE,TRUE,1,1,1,14,16,1
3,1.56948E+12,1,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,password,completed,1,England,TRUE,TRUE,TRUE,TRUE,1,1,0,4,4,3
4,1.56981E+12,0,TRUE,/,Android,TRUE,Chrome,77,740,360,facebook.com,completed,0,,FALSE,TRUE,FALSE,TRUE,1,0,0,0,0,1
5,1.56876E+12,0,TRUE,/,iPad,TRUE,Mobile Safari,,1024,768,password,completed,1,Scotland,TRUE,TRUE,FALSE,TRUE,1,1,0,3,0,1
6,1.56898E+12,2,TRUE,/,iPhone,TRUE,Mobile Safari,,736,414,facebook.com,completed,0,,FALSE,FALSE,FALSE,TRUE,1,0,0,0,0,1
7,1.569E+12,0,TRUE,/,Android,TRUE,Chrome,76,869,412,facebook.com,completed,0,,FALSE,TRUE,FALSE,TRUE,1,0,0,0,0,1
8,1.56935E+12,0,TRUE,/,Android,TRUE,Chrome,76,780,360,facebook.com,completed,0,,TRUE,TRUE,TRUE,TRUE,1,0,0,0,0,1
9,1.56978E+12,1,TRUE,/,iPhone,TRUE,Mobile Safari,,736,414,password,completed,1,Scotland,TRUE,TRUE,TRUE,TRUE,1,1,1,2,1,2
10,1.56909E+12,2,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,password,completed,1,England,FALSE,FALSE,TRUE,TRUE,1,1,0,6,7,6
11,1.56933E+12,0,TRUE,/,iPhone,TRUE,Mobile Safari,,896,414,password,completed,0,,TRUE,TRUE,FALSE,TRUE,1,0,0,0,0,3
12,1.56937E+12,0,TRUE,/,iPhone,TRUE,Mobile Safari,,896,414,facebook.com,completed,0,,FALSE,TRUE,FALSE,TRUE,1,0,0,0,0,1
13,1.56918E+12,1,TRUE,/,Android,FALSE,Chrome,76,640,360,facebook.com,notSeen,0,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,3
14,1.56952E+12,1,TRUE,/,Android,TRUE,Chrome,76,846,412,password,completed,0,,TRUE,TRUE,FALSE,TRUE,1,0,0,0,0,1
15,1.56884E+12,0,TRUE,/,Android,TRUE,Chrome,77,780,360,google.com,completed,0,,TRUE,TRUE,FALSE,TRUE,1,0,0,0,0,7
16,1.56899E+12,0,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,facebook.com,completed,0,,TRUE,TRUE,TRUE,TRUE,1,0,0,0,0,3
17,1.56901E+12,0,TRUE,/,iPad,TRUE,Mobile Safari,,1024,768,facebook.com,completed,1,England,TRUE,TRUE,TRUE,TRUE,1,1,0,2,1,9
18,1.56927E+12,1,TRUE,/,Android,TRUE,Chrome,76,760,360,facebook.com,completed,1,Wales,FALSE,TRUE,FALSE,TRUE,1,1,0,1,0,1
19,1.56979E+12,2,TRUE,/,Android,TRUE,Chrome,77,747,360,google.com,notSeen,0,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,1
20,1.56902E+12,0,TRUE,/,iPhone,TRUE,Mobile Safari,,896,414,facebook.com,completed,0,Wales,FALSE,FALSE,FALSE,TRUE,1,1,0,6,6,2
21,1.56949E+12,0,TRUE,/,Android,TRUE,Chrome,77,732,412,facebook.com,completed,0,,TRUE,TRUE,TRUE,TRUE,1,1,0,4,2,1
22,1.56969E+12,1,TRUE,/,iPhone,TRUE,Mobile Safari,,736,414,password,completed,0,,TRUE,TRUE,FALSE,TRUE,1,0,0,0,0,1
23,1.56876E+12,0,TRUE,/,Android,TRUE,Chrome,76,740,360,google.com,completed,1,England,TRUE,FALSE,TRUE,TRUE,1,1,0,3,1,1
24,1.56884E+12,0,TRUE,/,Android,TRUE,Chrome,76,640,360,google.com,completed,0,,TRUE,FALSE,FALSE,TRUE,1,0,0,3,0,1
